labels,tokens,
NAG,6-0 hahahahahaha har ek pakistani ko yeh pic dikhao :) #indvspak #जयहिन्द http://t.co/xnrxlasipi,
OAG,@sardanarohit :While entire nation is praying for our Siachin Brave heart #JNU pays tribute to a terrorist. #ShutDownJNU #JNUAfzalTribute,
NAG,shoaib: wahab riaz looks like johnson. kapil dev: umesh yadav ko aap nakaar nahi sakte. #indvspak #pakvsind #wewontgiveitback,
NAG,"ramraj cottons r. ashwin southindian , chennai-ian comes for bowling. #indvspak",
NAG,#indvsuae jeet gaye... :) :) cmon starsports naya ad dikhayo ab :),
NAG,tt india 08:24 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#जयहिन्द 5.rega jha 6.#lovedparentsworshipday 7.congrats team india 8.giroud,
CAG,#shutdownjnu over democratic setup feeds these thugs,
NAG,umesh strikes double !!! uae 102/10 #bleedblue exclnt bwlng by ash jaddu mohit n yadav #indvsuae,
NAG,bwahahahaha my last rt!!! 😂😂😂😂😂😂😂😂😂 #indvsuae,
OAG,Is JNU - Jihadi Nurturing University! #ShutDownJNU,
NAG,puli ra vaaduuu..puli. 100 for kohli. king kohli. legend #indvspak #cwc15,
NAG,"@rahulkanwal quite natural hain jee :p...#chakdeindia #indvspak #indwins , kabhi naa tootega yeh, see u on 2019 :p, :)",
CAG,what a time to be alive ? #indvsuae is not even on top 10 trend in india.,
NAG,pak india pak k pehli wicket 11 runs p ger gae youns khan c dhoni b shami 6 runs new man haris shoil #indvspak,
NAG,trending india:12:10 pm ist 1. #ausvnz 2. #superbudget 3. #unionbudget2015 4. #indvsuae 5. #thedress 6. mudra bank 7. nirbhaya fund,
CAG,"after saw #shutDownJNU I support to impose intolerance in India, he didn't want t pray for siachen braver's. but 4 a terrorist",
NAG,#indvsuae big win by india. authority stamped. come wi come. we are champions,
OAG,"Congrats #Arnab to call these pigs Hired Guns"" @TimesNow #FlashPointAfzal #ShutDownJNU""",
NAG,twitter trending results for hashtags http://t.co/3b2okiggdo محمد عساف-israe محمد عساف #israelissti #indvspak #pakvsind #ble,
CAG,"If against a Muslim, it is Anti-humanity"" or ""Religious suppression"". Here it is nothing to do with religion. It is ANTI-INDIA #ShutDownJNU""",
NAG,rt @barun_dhoni: and ro hits 3 chawke lagataar...wohoo.:d #indvsuae,
NAG,let's stand for our national anthem! rastra geet ka sanman rastra ka sanman #teamindia #indvspak #wontgiveitback #cwc2015 #cwc15,
CAG,Ppl who r questioning Afzal hanging be clear that after SC hearing there was plea to President as well #ShutDownJNU,
CAG,"wickets are falling faster than updates, lol #indvsuae",
NAG,"ashwin grabs his first 4 wickets in odi, takes his career best. #indvsuae",
CAG,#ShutDownJNU Goes Viral: People demand Govt. to Shut Down anti-national JNU http:// fb.me/4xFtdsYh9,
OAG,#shutdownjnu All Edu Institutes should be closed until these Anti Nationalist are arrested... @smritiirani,
CAG,#ShutDownJNU - the Univ shd get @Swamy39 as a VC if its to remain open,
CAG,#ShutDownJNU . May be re burn of bhaghat Singh bcoz our nation is in difficult. So all patriotic Indian think serious and do Gud for nation,
CAG,Tragedy with anti national elements is that take the people of Indian for granted #ShutDownJNU #BoycottAAP https:// twitter.com/ranjanagra11/s tatus/697483873366585344 …,
NAG,yeh gaya boom boom afridi :p yayyyyyyyyyyyy!!!wkt #indvspak,
CAG,Nothing new this has been going on for several years in JNU. this is for the first time such things are coming out in public. #ShutDownJNU,
NAG,best of luck pakistan for today #pakvsind jeetay ga bhai jeetay ga pakistan jeetay ga 🚩 #pakvind #indvspak #cwc15,
NAG,@aliaa08 @srbachchan india vs pakistan live streaminghd on http://t.co/hg59ivnh4g #indvspak #cwc15 #cwc2015,
OAG,#ShutDownJNU #JNURow Shout slogans that they will take bloody revenge for hanging Afzal... Write brainless articles defaming Maa Durga 2/n,
NAG,duplicate kohli.. out ho ja yar #indvspak,
CAG,#ShutDownJNU The truth of missing student of Jihadi Naxal University https:// mobile.twitter.com/Abhina_Prakash /status/788878265515511808 …,
OAG,The varsity JNU for long has been serving as the epicentre of anti nationalist Vendattas... About tym its whip is cracked.. #ShutDownJNU,
CAG,@Krishnpandey still we must accept they are Indians and its a democracy. One hv to respect opposition and criticism #ShutDownJNU,
CAG,"These traitor should be killed.they r livng on taxpayer money nd cheering 4 pak.GANDHI ,Nehru inst.has bcum shelter 4 traitors #ShutDownJNU",
NAG,uae ki first batting se ek indian player ki wc century miss ho jayegi :3 :3 #cwc15 #indvsuae,
NAG,Day15: JNU Indefinite Hunger Strike Continues... #StandWithJNU @Shehla_Rashid @kanhaiyajnusu @UmarKhalidJNU @standwithjnu #JNURow,
CAG,umesh yadav--aaj opening krke phli fifty bnaunga #indvsuae,
NAG,"pakistaniyo so jao, we're going to set u on fire tomorrow. kal india diwali manayegi. #indvspak",
NAG,@madam_robena abhi to start hi kiya kohli ny.... abhi dekhna.... dhammaaaaalllllllll #indvspak #pakvsind,
OAG,"Subsidy by Gov. per JNU student₹2,93,192 Hardship allowance per Jawan in Siachen₹21,000 Anti-Nationals r misusing money Why nt #ShutDownJNU",
NAG,god saves pakisatn.. dhoni on strike:) #indvspak #cwc15,
CAG,Harayana government to give special permit of eating beef to foreigners #AAPVictoryDay #AAPVictory #ShutDownJNU pic.twitter.com/f1NJlRswF4,
NAG,"plz vote for the second one علي الفيصل"" #UnitedAgainstQalandars #ShutDownJNU #EscaleraAlCielo https:// twitter.com/FoxMusicME/sta tus/697224323849916420 …""",
NAG,bach gaya sala. by an inch. #indvspak,
OAG,"#ShutDownJNU ,it has never been an educational institution,must b handed over to Army to teach them proper lesson.",
NAG,"#maukepechauka! india vs uae - india wins now turn for uae mauka mauka starsport ads. #indvssa, #indvsuae, #cwc15 http://t.co/kaimvazi2z",
CAG,uae captain to #msd bhai ek bar or batting de do. #indvsuae,
NAG,walk-over ho gaya kya? #indvsuae,
OAG,Please do that... Asap #ShutDownJNU,
NAG,grrrr....india bowling first... expected to be india batting first..scoring some 350-400... #disappointed #indvsuae,
CAG,This happens when freedom of speech is taken for granted. #ShutDownJNU,
CAG,"mout or katil, theme hai pakistan ka #indvsuae",
NAG,akmal is trolling pakistanis lol #indvspak,
NAG,dhoni playing stick cricket with uae..#indvsuae #cwc2015,
NAG,#indvspak shoib akhtar ab to commentary seekh le bc @pawanekbreathe @goswamigmaharaj,
NAG,@maria_masood1 ohh...then plz... 14 feb ko match jarur dekhna... #indvspak #cwc15 :-p,
OAG,Although I study in JNU bt still I wl support #ShutDownJNU becz 4 me India always comes 1st. Boot out Left morons https:// twitter.com/hstapanghosh/s tatus/697494168268976129 …,
NAG,#indvsuae bhubaneswar kumar is back and,
CAG,#BackToJNU why the hell govt is wastimg our tax money on the shit producing terrorists #shutdownjnu,
CAG,"Son of a Dalit, Muslim and Terrorist we will help you but Son of a Soldier, we the students of JNU dnt care #ShutDownJNU",
NAG,aiyoo virat is here...but anushka sharma ilayae...#indvspak,
CAG,#JNUneedsStrictAction Things r totally beyond redemption in JNU. Only remedy is to #ShutdownJNU - the nursery of sedtion in Nat'l capital.,
NAG,rekhaji's msg to indian team #indvspak http://t.co/hslqdcst6z,
NAG,#indvspak #bleedblue rega jha #mustwatchmsg team india #cwc2015 #kohli kohli is awesome... @newsologic #newsologic h,
NAG,"hahahahah ""@im_atchu: #indvsuae #waca http://t.co/foll2m06bd oh my god",
NAG,ahahahahahaha #pak were like passing the parcel 😂😂😂 #indvspak,
NAG,A colorful solidarity for the #JNU hunger strikers on day 10 of their ongoing struggle #FightBackJNU #StandWithJNU pic.twitter.com/ZsLjew4XIL,
CAG,@VenkatN_Tss Some other Political party is involved in funding & encouraging these acts just to defame @narendramodi #ShutDownJNU,
OAG,WTF was #JNU Administration Doing? WTF was @DelhiPolice doing? Is burning Effigy of @PMOIndia allowed? #ShutDownJNU enough now.. @TimesNow https:// twitter.com/LegalKant/stat us/786183573099335681 …,
OAG,"#ShutDownJNU Nation shd come 1st anything detrimentll 2 national interest shd b strictly dealt wd ,wdout exception. https:// twitter.com/HNMishra11/sta tus/697488780677124096 …",
CAG,"#StandwithJNU , so that #India 's brightest of #students like Umar & Anirban remain alive to stand with you: https:// youtu.be/-f1dwnJr7mA #mustwatch",
OAG,#ShutDownJNU Hell with the tolerance.Crush these antinational elements mercilessly,
NAG,#aus all-round performance in #worldcup2015 1-win 1-draw 1-lost cooling heals at 4th place #ouch #egohurts #indvsuae #ausvsnz,
CAG,or hara lo uae ko.. ho gaya petrol diesel mehnga :p :v #indvsuae,
CAG,"After all these days, Mr. Sanghdeesh Kumar got time to form a committee to talk to students. #StandWithJNU ... http:// fb.me/7JCf9wprX",
NAG,suna hai uae ko follow on milega... #indvsuae,
OAG,#ShutDownJNU & stop wasting Govt expenses on Anti National snakes,
CAG,Put all Afjal sympathisers including some prestitutes from Media behind bars to rot #ShutDownJNU,
CAG,We don't need enemy like Pakistan bcoz JNU exist in India. #ShutDownJNU,
NAG,Mothers' Manifesto: Mothers Stand With JNU https:// kafila.org/2016/05/09/mot hers-manifesto-mothers-stand-with-jnu/ … via @kafila #StandWithJNU,
CAG,Why isn't there anymore news on. The jnu hunger strike isn't imp to da media anymore i #StandWithJNU,
OAG,"These traitors of JNU are so shamelessly trying to defend their stand,I don't know whether they have any respect for d nation #ShutDownJNU",
NAG,pak missed the maukaa of @imvkohli #indvspak #wc2015 #iccworldcup2015,
CAG,"Jawaharlal Nehru virtually left Assam (to enemy) during 1962 India-China war like todays JNU traitors want Barbadi of India. #ShutDownJNU""",
CAG,"When Anti-India incident happened I have been shouting since that day 2 #ShutDownJNU , cleanse in properly .. Enough tax payers money dumped https:// twitter.com/ChennaiCA/stat us/786445998503501824 …",
CAG,#shutdownJNU IS ONLY THE OPTION LEFT WITH https:// twitter.com/Abhi_376/statu s/794458471500546048 …,
NAG,come on lndia dikha do #indvspak,
OAG,"#ShutDownJNU its den of all anti-nationals, educated naxalites and drug addicts",
OAG,langda tyagi bahubali! rt @gautamverma23: every indian right now!!!!! #indvspak http://t.co/rslwkxnsrf,
OAG,"@swamy39 GuruJi, You were right. JNU is the place of Naxalite and Jihadi. #ShutDownJNU",
NAG,@starof_eyes : will be online tomorrow during #indvspak ! maukaa.ṁaukaa.ṁaukaa,
OAG,Shouting anti India slogans.Sympathizing a terrorist.What is happening at JNU?Clearly it is not a educational institution #ShutDownJNU,
OAG,"Dear @narendramodi , your govt's pathetic stand on JNU is exposed. Please listen to Susheel Pandit's ordeal on @TimesNow #ShutDownJNU",
NAG,goal keeping se wicketkeeping pe ae hai! #indvspak,
OAG,#JNU is a hub of #Naxal #Terrorist with #Pak supporting the #Leftists . Time to #ShutdownJNU,
OAG,@narendramodi #ShutDownJNU we need education but not against nation,
NAG,yeyyyyyyyyyyyy #indvspak sir jadeja is trending 😂😂😂😂,
OAG,"#ShutDownJNU , salvage the real scholars and #ShutItDown , Act now @PMOIndia .",
CAG,uae tops lowest odi total against india! #indvsuae,
NAG,why hasn't sreesanth tried to get into the uae side? #indvsuae,
NAG,diwali in february any-time now #indvspak #indwins #cwc15,
CAG,afridi..feeling sorry for u :( .....chal koi na next time :) #indvspak,
OAG,Yes burn alive those terrorists and porkistanis #ShutDownJNU,
NAG,tmrw its mauka mauka in waca waca !!! #indvsuae,
OAG,Instead of sending terrorist from Pak side Hafiz Saeed should do campus placement in JNU he'll get educated terrorists #ShutDownJNU,
CAG,"@smritiirani please accept my sincere request, to stop the fellowship of those JNU students who were praising Afzal Guru. #ShutDownJNU",
NAG,indiaaa indiaaaa indiaaa indiaaaa all the best team india.. #indwins #indvspak #cwc15,
OAG,#ShutDownJNU send all student who supporting afzal guru before they became terrorist,
NAG,@swimphony everyone should be given a chance #indvsuae,
OAG,#shutdownjnu All Edu Institutes should be closed until these Anti Nationalist are arrested.......,
OAG,#ShutDownJNU #JNURow What do these morons of #JNU think of themselves... They praise Pakistani terroists... Shout slogans 1/n,
CAG,sea gulls trolling bhuku? #cwc15 #indvsuae,
NAG,"raina's fielding in the slips, is just a feast for the eye. #indvsuae",
NAG,rt if you are laughing at pakistan... hahhahahahahahahahahahahahahahahahahahahahahahahahahaha #indvspak #pakvsind,
NAG,So true. #StandWithJNU https:// twitter.com/ivivek_nambiar /status/730780219410415616 …,
CAG,ISIS was waiting for him to join ?? think so !!! #ShutDownJNU https:// twitter.com/ANI_news/statu s/788802525734445057 …,
CAG,ab tk ka highest score... 102 by uae.... :v india kese chase krega.. :p lol #indvsuae,
NAG,sir jadeja strikes again. shehzad out #indvspak,
NAG,is baar pakistani player safe hain. kyoki pakistan me kisi ne match nahi dekha. because no electricity. #indvspak,
NAG,After @kanhaiyajnusu now #Umar is also hospitalized. #StandWithJNU,
OAG,"JNU should be shut down or Not a single tax payer money be wasted on these Anti Nationals #ShutdownJNU . @PMOIndia ,no excuse needed",
NAG,.....in the air... &amp;....dropped... by raina.. technique failed in front of timing. . well try though! ! #indvsuae #cwc15 #wewontgiveitback,
NAG,@deepak_says hahahaha bt jeetegi to ind hi ❤❤ #indvsuae,
NAG,"- #perth: cricket world cup 2015, uae ka bharat ko 103 runs ka hadaf, ashwin 4, jadeja aur yadav nay 2,2 khiladion ko out kia. #indvsuae",
OAG,"#JNU is hub of terrorist, Naxalites Maoists and organised sex rackets. #ShutDownJNU https:// twitter.com/CNNnews18/stat us/795488450543685633 …",
NAG,#indvspak countdown begins !!! tik tok tik tok :d,
CAG,#ShutDownJnu Why taxpayers money is being wasted on these old brainless goons of politicians in the name of education.,
CAG,". @TwitterIndia though it is trending top, #ShutDownJNU doesn't feature in the auto-fill. Why?",
NAG,"rt @indiancricnews: last meeting b/w #indvuae july 16, 2004 at dambulla (asia cup) india 260-6 (50), uae 144 (35) india won by 116 runs #i…",
NAG,"most hundreds in won odis 33 srt 25 ponting 24 jayasuriya 20 vkohli 18 ganguly 17 h amla #cwc15 #indvspak - rizwan_r-s""",
NAG,#indvsuae bharat q 4 me seet pakee,
OAG,"This is what JNU is famous for : Yes, funded by Indians and acting against Indians !! #ShutDownJNU",
CAG,"There can be discussions, debates & opinions but disrespectful terms for the nation isn't freedom of speech, it's an offense. #ShutDownJNU",
CAG,"Dear Mr. @narendramodi , Swami Vivekananda had said: there is no place for the weak, neither in this world or the next. Pls #ShutDownJNU",
NAG,tt uk 08:24 1.#thedress 2.#ausvnz 3.#nzvaus 4.#watson27 5.#indvsuae 6.jihadi john 7.boris nemtsov 8.spock 9.starc 10.cage,
NAG,pak..pak..pak!!! even zimbabwe made more than you!!#indvspak,
CAG,"Dear soldiers Afzal Guru's death was 'judicial killing'"" this slogan s Lesson 4 all of u , it will be called killing(1of2) #ShutdownJNU""",
NAG,finish it off ya sir jadeja! #indvsuae,
CAG,congratulations uae for making century against india. #mouka to celebrate. #indvsuae #cwc15,
NAG,download &gt;&gt; mauka mauka {new} india vs west indies video #mauka_mauka #indvsuae http://t.co/qkhu1yhkd6,
NAG,rt sirjadeja: just missed my triple century by 297 runs. feeling sad. :'( #indvspak #pakvsind #indwins #cwc15 #जयहिन्द #febthe15th,
NAG,"@timesofindia who is ""ashwin nehra"" in team india..?...kuchh bhi haan...;)) @ashwinravi99 #indvsuae #indwins #wc2015 http://t.co/z00nygjwp2",
NAG,"all the best, tweets bollywood on indvspak world cup http://t.co/xkldad5gdq @s1dharthm @aliaa08 shah rukh http://t.co/kliz9deui8",
NAG,mohammad tauqir bowled round his legs by jadeja. uae- 71/9. #indvsuae http://t.co/6xjho8cvcx,
NAG,hu ha #india kon bana chh***tiya waiting 4 tommorw's match #indvspak #iccworldcup2015,
OAG,Shame on Jnu V.C Jagdeesh kumar. Students asking questions V.C Running Away. #Standwithjnu,
CAG,Now it's high time to rethink about shutting down of JNU for final. #ShutDownJNU,
CAG,next up: india vs kerala #indvsuae,
CAG,#shutdownjnu Shut it down now,
CAG,"BJP, Nationalist are trending #ShutDownJNU and Gan*** of @AamAadmiParty are busy in #AAPVictoryDay #ShutDownJNU",
CAG,#ShutDownJNU because Indian democracy feel threatened.. Bravo...,
NAG,@tazeen: virat kohli &amp; ahmed shehzad: siblings who got separated in kumbh ka mela #cwc15 #indvspak 👍👌,
OAG,#ShutDownJNU These traitors should be shot in the head. There are these eunuchs and then there is a real Indian Hanumanthappa.,
NAG,"@imraina gets six caught in #wc2015, most by anyone. #indvsuae",
OAG,We shd #shutdownjnu if thy can't support India & instead spt anti nationals,
OAG,JNU is terror making factory in India #ShutDownJNU,
NAG,yeh starsports ne konsa advertisement banaya hai .. ? dailymotion pe hai kiya ? #indvspak,
CAG,"dear #starsports team, please dont wait for the match to end, start showing us the next mauka ad :d ;) :d #indvsuae",
NAG,tt uk 09:04 1.#thedress 2.#indvsuae 3.#watson27 4.#ausvnz 5.#nzvaus 6.jihadi john 7.boris nemtsov 8.spock 9.mohammed emwazi 10.cage,
NAG,#mustwatchmsg #wivire #indvspak rega jha #bleedblue #cwc15 kohli life of india.. @newsologic #newsologic http://t.co/kdh1n6p109 ssd,
CAG,#ShutDownJNU after india developed...can we live with this kind of anti-national elements happily?...now teaching them is equally important,
NAG,ohh lala ohh lala tu hi meri fantasy #indvspak,
NAG,chandu532: rt missiondelhi45: chandu532: ddnewslive: #uhf #indvspak: ravindra jadeja takes umar akmal's (0) wicket. pakistan 105/5 in 25 ov…,
NAG,kohli kohli kohli......sensible &amp; smart inning dude..... #worldcup #indvspak #cwc15,
NAG,4 wicket ab to jeet hi jaega india... #indvspak,
NAG,huge moment in the match - umar akmal drops virat kohli http://t.co/9dmxzqxpsu #cricket #cwc15 #indvspak,
CAG,@cricketworldcup @cricbuzz #indvsuae i'm going to bed..its 2.10 am. and i'm a stupid watching this oneside game 😂😂 #indwins #wontgiveitback,
CAG,Rhetoric of fake nationalism not over yet #StandWithJNU https:// twitter.com/Shehla_Rashid/ status/729971305173397504 …,
CAG,Hauz khas vilage where alcohol is common #rapeculture #shutdownjnu http://www. deccanherald.com/content/592546 /jnu-student-raped-2-afghan.html …,
NAG,"Jairus Banaji speaks on The Political Culture of Fascism"" | #StandWithJNU https:// youtu.be/Ea67qXnP-1Y via @YouTube""",
CAG,#ShutDownJNU nw nobdy wl utter a single wrd agnst these bnch of assholes..,
NAG,hahahahahahahahahahaha but true isn't it ??? #indvspak #worldcup2015 http://t.co/ciljgehbip,
NAG,selfish harami.. dhawan tera baap he &gt;.&lt; #indvspak,
NAG,"shoaib akhtar is hitting puberty at hindi commentary box, get him out #indvspak",
OAG,#ShutDownJNU i am taxpayer and i should only decide where it should be used @sudhirchaudhary,
NAG,salute u kohli..u r back #indvspak,
CAG,Is it just coincidence that #ShutDownJNU and #AAPVictoryDay trending together ?,
CAG,Poor #ModiBhaiDidiBhai Bhakts... #StandWithJU #StandWithJNU https:// twitter.com/sandeeproy1/st atus/728765985717661696 …,
OAG,These people feeding on taxpayers money and have total disrespect for the nation Hang these rodents #ShutDownJNU https:// twitter.com/MatruBhakt/sta tus/697492951149064192 …,
OAG,"@noconversion #ShutDownJNU TODAY I REALIZED THAT EXTERNAL ENEMIES OF INDIA ARE NEGLIGIBLE,MOST CRUEL ENEMIES ARE WITHIN US.",
CAG,#ShutdownJNU liberate VC/rector frm 20 hrs confinement by stugoons w/o electricity&restroom:) @narendramodi @PrakashJavdekar @rajnathsingh,
NAG,"#indvspak - well... misbah, afridi &amp; paki gang.. --- dho daala -- photo sent by whatsapp http://t.co/sdvmeatirl",
OAG,Immediately #ShutDownJNU,
OAG,@smritiirani What is going on in JNU? It's an insult to my country. Don't be like congress. Take action else I lost faith in u #ShutDownJNU,
CAG,Indian students in Indian university shouting freedom for an Indian state from India. #IncredibleIndia #shutdownJNU,
CAG,"According to this, #kashmiripandits should've avenged their persecution! #shutdownjnu https:// twitter.com/LavishingLavis h/status/697494433026039808 …",
OAG,Episode at #ShutDownJNU confirms wht @Swamy39 has been saying fr a long tym! JNU has bcm a bunch of naxalites& antinationals. Boot them out!,
CAG,Modi: Ease of doing business Pachauri: Sleaze of doing business #ShutDownJNU #TERI,
CAG,i am from kerala 😜 but hum india ko hi support karenge 😆 #indvsuae,
